scenario,delay_months,dose_mg,DA_at_start,DA_after_18mo_treated,DA_after_18mo_placebo,delta_DA,treated_not_above_start,relative_change_vs_0mo_delay
A,0,10,0.7,0.6529739948744595,0.6357395516890889,0.017234443185370596,True,0.0
A,0,30,0.7,0.6610485744361189,0.6357395516890889,0.025309022747029952,True,0.0
A,0,60,0.7,0.6645676681893482,0.6357395516890889,0.028828116500259293,True,0.0
B,0,10,0.7,0.6457027779814819,0.6357395516890889,0.00996322629239299,True,0.0
B,0,30,0.7,0.6543109514946148,0.6357395516890889,0.018571399805525912,True,0.0
B,0,60,0.7,0.6595066618372176,0.6357395516890889,0.02376711014812871,True,0.0
A,6,10,0.6778539620594694,0.6323157279102561,0.6156265342151194,0.016689193695136773,True,-0.031637197927964156
A,6,30,0.6778539620594694,0.6401348504161103,0.6156265342151194,0.02450831620099092,True,-0.03163719729688086
A,6,60,0.6778539620594694,0.6435426099055195,0.6156265342151194,0.02791607569040011,True,-0.03163719731224823
B,6,10,0.6778539620594694,0.6252745519372904,0.6156265342151194,0.009648017722171054,True,-0.031637198731760297
B,6,30,0.6778539620594694,0.6336103869770028,0.6156265342151194,0.017983852761883412,True,-0.031637197507733195
B,6,60,0.6778539620594694,0.6386417196334273,0.6156265342151194,0.023015185418307937,True,-0.03163719632443307
A,12,10,0.6564085626902313,0.6123110306344591,0.5961498362428334,0.016161194391625777,True,-0.062273482363262134
A,12,30,0.6564085626902313,0.6198827780677438,0.5961498362428334,0.02373294182491048,True,-0.06227348001038191
A,12,60,0.6564085626902313,0.6231827255451057,0.5961498362428334,0.027032889302272323,True,-0.062273482139244996
B,12,10,0.6564085626902313,0.6054926177612325,0.5961498362428334,0.00934278151839918,True,-0.06227348007417299
B,12,30,0.6564085626902313,0.6135647303105293,0.5961498362428334,0.01741489406769592,True,-0.062273482340619024
B,12,60,0.6564085626902313,0.6184368857062134,0.5961498362428334,0.022287049463380004,True,-0.06227348110578934
A,24,10,0.6155317159639013,0.5741802907767511,0.5590255102258745,0.015154780550876601,True,-0.12066897735688442
A,24,30,0.6155317159639013,0.5812805190951819,0.5590255102258745,0.022255008869307313,True,-0.12066897676169785
A,24,60,0.6155317159639013,0.5843749673979652,0.5590255102258745,0.025349457172090695,True,-0.120668977043204
B,24,10,0.6155317159639013,0.5677864841893971,0.5590255102258745,0.0087609739635226,True,-0.1206689774564611
B,24,30,0.6155317159639013,0.575355918206779,0.5590255102258745,0.01633040798090446,True,-0.1206689774647276
B,24,60,0.6155317159639013,0.5799246675140213,0.5590255102258745,0.02089915728814673,True,-0.12066897667017329
