CI_max,alpha_clear,death_scale,status,onset_years,DA_saved_A,DA_saved_B
0.86,0.28,0.04,included,4.37078332256122,0.030701396785197343,0.02253665764541679
0.86,0.28,0.05,included,3.497826800496786,0.03670970748567115,0.026900332660704462
0.86,0.28,0.06,included,2.9158557880414295,0.04213870196345337,0.030824810745368247
0.86,0.28,0.07,included,2.50016220504556,0.047027634417823316,0.03434093546469752
0.86,0.28,0.08,included,2.1883920208250007,0.05141341807076516,0.037477651870074236
0.86,0.315,0.04,included,5.6215021222030375,0.02405896433037691,0.017622180876370352
0.86,0.315,0.05,included,4.4982551016222,0.029048573269113143,0.021248828406745357
0.86,0.315,0.06,included,3.7494237539556057,0.033670335570782695,0.024597075223449893
0.86,0.315,0.07,included,3.214544220171799,0.03794365416353307,0.027682123653302138
0.86,0.315,0.08,included,2.8133845698326643,0.04188702780530962,0.030518445505793634
0.86,0.35,0.04,included,7.071936123117469,0.019066825407277554,0.014019859684331504
0.86,0.35,0.05,included,5.658506773552088,0.023182686906750738,0.017029126067316658
0.86,0.35,0.06,included,4.716220540508212,0.0270596688241177,0.019856990565008115
0.86,0.35,0.07,included,4.043158945476406,0.030707808428000583,0.022511331454079908
0.86,0.35,0.08,included,3.538362749286326,0.03413676947862443,0.02499972519606819
0.86,0.385,0.04,included,8.754738697318253,0.015077311047555164,0.01112226314379905
0.86,0.385,0.05,included,7.00467609475373,0.018427462328048705,0.013583120173346508
0.86,0.385,0.06,included,5.83796771425643,0.021621193330319866,0.015924941329486852
0.86,0.385,0.07,included,5.004604576763523,0.024663833937940915,0.01815191173567199
0.86,0.385,0.08,included,4.379582222916173,0.027560553067891402,0.02026808634274746
0.86,0.42,0.04,included,10.654773437605776,0.011932134790505144,0.00881298441141043
0.86,0.42,0.05,included,8.52464477553146,0.014640208119317544,0.010806665767328472
0.86,0.42,0.06,included,7.1045590009991,0.017244410308239866,0.012721317410226751
0.86,0.42,0.07,included,6.09021201883794,0.019747664957580624,0.01455923044295604
0.86,0.42,0.08,included,5.329451782462946,0.02215282278443831,0.016322637153986852
0.88,0.28,0.04,included,4.760538029321654,0.028362137547924493,0.020745517028797456
0.88,0.28,0.05,included,3.8095785089204717,0.03403457940985877,0.024854874841765517
0.88,0.28,0.06,included,3.1756054869250603,0.039208316729578474,0.02858728559541024
0.88,0.28,0.07,included,2.7227676169055735,0.043914374092554276,0.031967052406613794
0.88,0.28,0.08,included,2.383139209383192,0.04818207533691721,0.03501710290975191
0.88,0.315,0.04,included,6.108900578283704,0.022386261598003387,0.01637967150994668
0.88,0.315,0.05,included,4.888133673036027,0.02710389659889967,0.01980737284206069
0.88,0.315,0.06,included,4.07428906956752,0.031503304262386456,0.022994364559424274
0.88,0.315,0.07,included,3.492971496857958,0.035599919264662105,0.02595273349166738
0.88,0.315,0.08,included,3.056983315160973,0.039408514293714725,0.028694031602556125
0.88,0.35,0.04,included,7.698578360988653,0.017749317277460985,0.013048493575167908
0.88,0.35,0.05,included,6.159784784208792,0.02162980282391358,0.015886498367940094
0.88,0.35,0.06,included,5.133922399568174,0.02530442563665003,0.01856813104604238
0.88,0.35,0.07,included,4.401163553702651,0.028781122837092443,0.02109962400207932
0.88,0.35,0.08,included,3.8515944191684763,0.03206756037419689,0.023486990235492167
0.88,0.385,0.04,included,9.561990369572285,0.01401008325790698,0.010334242211348044
0.88,0.385,0.05,included,7.650443144795556,0.01715598386699546,0.01264574194035284
0.88,0.385,0.06,included,6.376078328337065,0.020168000598074887,0.0148553131421717
0.88,0.385,0.07,included,5.465817745152724,0.023050304767891272,0.016966233330907077
0.88,0.385,0.08,included,4.783122307764134,0.02580695261256183,0.01898168674676426
0.88,0.42,0.04,included,11.682037506891415,0.011064244809902868,0.008170501894666504
0.88,0.42,0.05,included,9.346421940599225,0.01359786426347076,0.010035931209523286
0.88,0.42,0.06,included,7.7893448964721115,0.016043218822997085,0.011834180940390349
0.88,0.42,0.07,included,6.677147007726339,0.018402571077671626,0.013567025199002103
0.88,0.42,0.08,included,5.842998591211238,0.020678132081853207,0.015236196653923173
0.8999999999999999,0.28,0.04,included,5.147433647146149,0.026338460699852795,0.019204346058553257
0.8999999999999999,0.28,0.05,included,4.119047046176769,0.03170194442902674,0.0230808921739577
0.8999999999999999,0.28,0.06,included,3.4334559797506294,0.03663169178707559,0.026630494155779894
0.8999999999999999,0.28,0.07,included,2.9437480739041213,0.04115266156228847,0.029872648748399566
0.8999999999999999,0.28,0.08,included,2.576467142750273,0.04528854526492343,0.032825830894818386
0.8999999999999999,0.315,0.04,included,6.593882320922768,0.020918562558212228,0.015293027569067252
0.8999999999999999,0.315,0.05,included,5.276081548166903,0.025386352211743457,0.018538370460342568
0.8999999999999999,0.315,0.06,included,4.397547698763976,0.029576212463339302,0.021573581761055838
0.8999999999999999,0.315,0.07,included,3.77002352082307,0.03350062553188771,0.02440843177509744
0.8999999999999999,0.315,0.08,included,3.299380388519397,0.037171577412158596,0.027052290146868163
0.8999999999999999,0.35,0.04,included,8.325404804507986,0.016583142835910114,0.01218946431954182
0.8999999999999999,0.35,0.05,included,6.661212104258683,0.020247566103602566,0.014870196092697574
0.8999999999999999,0.35,0.06,included,5.551750303987531,0.02373294179426122,0.01741489406997243
0.8999999999999999,0.35,0.07,included,4.759277590465043,0.027045648430343516,0.019828568216884612
0.8999999999999999,0.35,0.08,included,4.164923054966058,0.03019186302078447,0.022116065368442905
0.8999999999999999,0.385,0.04,included,10.373328937679487,0.01306295558053494,0.00963471986626041
0.8999999999999999,0.385,0.05,included,8.299481331667957,0.01602214948846903,0.011809509537368701
0.8999999999999999,0.385,0.06,included,6.916916223582319,0.018865671080863677,0.013896209903097478
0.8999999999999999,0.385,0.07,included,5.92936971805341,0.02159683937378387,0.015897429752008363
0.8999999999999999,0.385,0.08,included,5.18870983892282,0.024218888698771424,0.017815709498966936
0.8999999999999999,0.42,0.04,included,12.718773840637878,0.010294220603439208,0.007600130815278328
0.8999999999999999,0.42,0.05,included,10.175778324963868,0.012669186363450047,0.009348762493151863
0.8999999999999999,0.42,0.06,included,8.480447980953324,0.014968413256673863,0.011039736841389924
0.8999999999999999,0.42,0.07,included,7.26949773551887,0.017193682533893306,0.012674451180203161
0.8999999999999999,0.42,0.08,included,6.361285051661963,0.019346738133056873,0.01425427276082103
0.9199999999999999,0.28,0.04,included,5.5267931086264666,0.02459497683687395,0.017884965694995314
0.9199999999999999,0.28,0.05,included,4.4224908900343225,0.029679207358069726,0.021552407840913057
0.9199999999999999,0.28,0.06,included,3.686289412050847,0.03438215651837229,0.024933123812440283
0.9199999999999999,0.28,0.07,included,3.1604312124785174,0.038724264097228844,0.02804304141078484
0.9199999999999999,0.28,0.08,included,2.7660375628551432,0.04272500204625185,0.03089730997484086
0.9199999999999999,0.315,0.04,included,7.07187681648479,0.01963056890464332,0.01434275689415343
0.9199999999999999,0.315,0.05,included,5.658442348065121,0.023870799094266704,0.017422456321523838
0.9199999999999999,0.315,0.06,included,4.716152702110428,0.027865990161745513,0.02031695216668261
0.9199999999999999,0.315,0.07,included,4.043088665471313,0.03162640027583974,0.023034270912726473
0.9199999999999999,0.315,0.08,included,3.5382906449155462,0.03516190713155887,0.025582131865232838
0.9199999999999999,0.35,0.04,included,8.946877093107062,0.01554957589042083,0.011428804122293523
0.9199999999999999,0.35,0.05,included,7.158358119661341,0.01901669003489892,0.013965894086041541
0.9199999999999999,0.35,0.06,included,5.966012137154769,0.02232666561209873,0.016383574318000194
0.9199999999999999,0.35,0.07,included,5.11433643580696,0.025484709167146402,0.018685934967093143
0.9199999999999999,0.35,0.08,included,4.475579659248796,0.028495874032611113,0.02087694225560277
0.9199999999999999,0.385,0.04,included,11.181360115438974,0.012221048279375313,0.009012771132905772
0.9199999999999999,0.385,0.05,included,8.945875214230794,0.015010170397437572,0.011062894944742552
0.9199999999999999,0.385,0.06,included,7.45555194629155,0.017698432808506803,0.013036196560275326
0.9199999999999999,0.385,0.07,included,6.39103532664645,0.020288518609126283,0.014934785513242899
0.9199999999999999,0.385,0.08,included,5.592647861857525,0.02278304748391502,0.016760719951143255
0.9199999999999999,0.42,0.04,included,13.754879169630552,0.009609804009115042,0.007092899389047558
0.9199999999999999,0.42,0.05,included,11.004631457643049,0.011840838407769172,0.008735446523033263
0.9199999999999999,0.42,0.06,included,9.171132982982819,0.014006256954036456,0.010328040065730848
0.9199999999999999,0.42,0.07,included,7.861491215344505,0.016107485382524267,0.011871798684073176
0.9199999999999999,0.42,0.08,included,6.879259889458527,0.018145921936765008,0.01336781886116234
0.94,0.28,0.04,included,5.895134066338899,0.023093805201070405,0.016756985775321698
0.94,0.28,0.05,included,4.717124067323364,0.027928223011997155,0.020238745532546676
0.94,0.28,0.06,included,3.9317840680398244,0.03242392235062008,0.02346627835562587
0.94,0.28,0.07,included,3.3708269256857255,0.0365979321820602,0.02645282722708664
0.94,0.28,0.08,included,2.950109069423865,0.040466524882226795,0.029211027702924053
0.94,0.315,0.04,included,7.5395036368201485,0.0184974348058643,0.013509665124017634
0.94,0.315,0.05,included,6.032511664989456,0.022531234108346898,0.01643953675153953
0.94,0.315,0.06,included,5.0278503506465135,0.026347027865369688,0.01920466980076352
0.94,0.315,0.07,included,4.31023512597189,0.029953375224558876,0.021811759582145762
0.94,0.315,0.08,included,3.7720237073651095,0.0333585375566946,0.024267261024497944
0.94,0.35,0.04,included,9.558728126300105,0.014630814694553185,0.010753196666806741
0.94,0.35,0.05,included,7.647809131975899,0.01791811193674908,0.013159375163239173
0.94,0.35,0.06,included,6.373863136131584,0.021066305548320008,0.01545983357719749
0.94,0.35,0.07,included,5.463901711124017,0.024079708226044882,0.017657960323326893
0.94,0.35,0.08,included,4.781430640802525,0.026962513875782967,0.01975704769758213
