scenario,dose_mg_per_kg,DA,CL_ratio,aSyn_olig,motor
A,0,0.5161504058910987,0.8346510871243544,0.3682764263925349,0.24025401917140918
A,0.25,0.5321439994495344,0.8516096865829434,0.34352173381999646,0.22457019185209803
A,0.5,0.5457281590503268,0.8650704837351428,0.3255033731339732,0.21201482503436847
A,1,0.5677982638983212,0.8854432299480633,0.30035465698554403,0.1931040391892606
A,2,0.599296459196646,0.9116846550337941,0.2708419186441162,0.16930234346902864
A,3,0.6211738248031408,0.9280376560819563,0.25372239074159736,0.1549590923596736
A,5,0.6502795461335866,0.9474261910966191,0.23443916873217055,0.13858190132135845
A,7.5,0.672926927792549,0.9606462876388926,0.22183140347595073,0.12788122074266736
A,10,0.6879972842979084,0.9685457160218816,0.21448449367169958,0.12169627684305936
B,0,0.5161504058910987,0.8346510871243544,0.3682764263925349,0.24025401917140918
B,0.25,0.5227714204336898,0.8418372309701719,0.3574707626657064,0.23364186841797
B,0.5,0.5289475205222868,0.8483252552978904,0.3481210677784656,0.22762634530032658
B,1,0.5401641462535727,0.8596495328771804,0.3326082266415491,0.2170729617280816
B,2,0.5590455520556206,0.8775698402403814,0.309806826387867,0.20038349438432304
B,3,0.5744543841157373,0.8912577883547779,0.2935661184875823,0.18776219138944014
B,5,0.5983852022468887,0.9109703796393009,0.2716098348934033,0.16993845478598632
B,7.5,0.6201807420152708,0.9273284180656248,0.25444754871837827,0.1555718338792445
B,10,0.6364883318650993,0.938576356043766,0.2431161453636534,0.14596423588026897
